,MOVIE NAME,GENRE,RUN TIME,STORY,RATING
33,The Sixth Sense,"<span class=""genre"">
Drama, Mystery, Thriller            </span>","<span class=""runtime"">107 min</span>","<p class="""">
A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist.</p>","<span class=""ipl-rating-star__rating"">8.2</span>"
34,Nae meorisokui jiwoogae,"<span class=""genre"">
Drama, Romance            </span>","<span class=""runtime"">144 min</span>","<p class="""">
A young couple's enduring love is tested when 27-year-old Su-jin is diagnosed with a rare form of Alzheimer's disease.</p>","<span class=""ipl-rating-star__rating"">8.1</span>"
35,Okuribito,"<span class=""genre"">
Drama            </span>","<span class=""runtime"">130 min</span>","<p class="""">
A newly unemployed cellist takes a job preparing the dead for funerals.</p>","<span class=""ipl-rating-star__rating"">8</span>"
36,Wo de fu qin mu qin,"<span class=""genre"">
Drama, Romance            </span>","<span class=""runtime"">89 min</span>","<p class="""">
Prompted by the death of his father and the grief of his mother, a man recalls the story of how they met in flashback.</p>","<span class=""ipl-rating-star__rating"">7.8</span>"
37,Saving Private Ryan,"<span class=""genre"">
Drama, War            </span>","<span class=""runtime"">169 min</span>","<p class="""">
Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.</p>","<span class=""ipl-rating-star__rating"">8.6</span>"
38,The Bridge on the River Kwai,"<span class=""genre"">
Adventure, Drama, War            </span>","<span class=""runtime"">161 min</span>","<p class="""">
British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.</p>","<span class=""ipl-rating-star__rating"">8.2</span>"
39,Ben-Hur,"<span class=""genre"">
Adventure, Drama            </span>","<span class=""runtime"">212 min</span>","<p class="""">
After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.</p>","<span class=""ipl-rating-star__rating"">8.1</span>"
40,The Exorcist,"<span class=""genre"">
Horror            </span>","<span class=""runtime"">122 min</span>","<p class="""">
When a 12 year old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter.</p>","<span class=""ipl-rating-star__rating"">8.1</span>"
41,El secreto de sus ojos,"<span class=""genre"">
Drama, Mystery, Romance            </span>","<span class=""runtime"">129 min</span>","<p class="""">
A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.</p>","<span class=""ipl-rating-star__rating"">8.2</span>"
42,Léon,"<span class=""genre"">
Action, Crime, Drama            </span>","<span class=""runtime"">110 min</span>","<p class="""">
12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.</p>","<span class=""ipl-rating-star__rating"">8.5</span>"
43,The Green Mile,"<span class=""genre"">
Crime, Drama, Fantasy            </span>","<span class=""runtime"">189 min</span>","<p class="""">
The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.</p>","<span class=""ipl-rating-star__rating"">8.6</span>"
44,Gran Torino,"<span class=""genre"">
Drama            </span>","<span class=""runtime"">116 min</span>","<p class="""">
Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.</p>","<span class=""ipl-rating-star__rating"">8.1</span>"
45,Kill Bill: Vol. 1,"<span class=""genre"">
Action, Crime, Drama            </span>","<span class=""runtime"">111 min</span>","<p class="""">
After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.</p>","<span class=""ipl-rating-star__rating"">8.2</span>"
46,Jurassic Park,"<span class=""genre"">
Action, Adventure, Sci-Fi            </span>","<span class=""runtime"">127 min</span>","<p class="""">
A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.</p>","<span class=""ipl-rating-star__rating"">8.2</span>"
47,Terminator 2: Judgment Day,"<span class=""genre"">
Action, Sci-Fi            </span>","<span class=""runtime"">137 min</span>","<p class="""">
A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her 10-year old son John from an even more advanced and powerful cyborg.</p>","<span class=""ipl-rating-star__rating"">8.6</span>"
48,Back to the Future,"<span class=""genre"">
Adventure, Comedy, Sci-Fi            </span>","<span class=""runtime"">116 min</span>","<p class="""">
Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.</p>","<span class=""ipl-rating-star__rating"">8.5</span>"
49,Finding Nemo,"<span class=""genre"">
Animation, Adventure, Comedy            </span>","<span class=""runtime"">100 min</span>","<p class="""">
After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.</p>","<span class=""ipl-rating-star__rating"">8.2</span>"
